Year,Team,PTS,FGA,3PA,3P%,AST,TOV,3P_Rate,Pace,ORtg,Era
1991,MIA,101.8,87.1,5.7,0.302,23.2,18.9,0.06544202066590127,118.364,0.8600588016626677,1990s
1991,CLE,101.7,83.6,5.8,0.334,27.3,15.6,0.06937799043062201,110.85999999999999,0.9173732635756812,1990s
1991,WAS,101.4,88.6,3.5,0.194,25.4,16.6,0.039503386004514675,116.06799999999998,0.8736258055622568,1990s
1991,DET,100.1,83.8,5.4,0.298,22.3,14.4,0.06443914081145585,110.08,0.9093386627906976,1990s
1991,DAL,99.9,84.0,7.3,0.322,22.2,14.5,0.0869047619047619,109.148,0.9152710081723898,1990s
1991,MIN,99.6,88.7,4.6,0.283,23.0,13.0,0.05186020293122886,112.876,0.8823842092207377,1990s
1991,SAC,96.7,83.1,7.0,0.374,24.3,15.5,0.08423586040914562,109.90799999999999,0.8798267642027879,1990s
1992,GSW,118.7,90.6,9.3,0.333,25.2,16.5,0.10264900662251657,121.092,0.9802464242063885,1990s
1992,IND,112.2,86.3,11.5,0.354,29.2,17.1,0.13325608342989573,116.072,0.9666413949962093,1990s
1992,PHX,112.1,88.0,7.3,0.381,26.9,15.1,0.08295454545454545,115.948,0.966812709145479,1990s
1992,POR,111.4,89.7,11.5,0.344,25.2,16.2,0.1282051282051282,119.10000000000001,0.9353484466834593,1990s
1992,CHI,109.9,87.4,5.5,0.304,27.8,13.3,0.06292906178489702,112.14,0.9800249687890138,1990s
1992,CHA,109.5,92.3,4.5,0.317,27.9,15.5,0.04875406283856988,119.416,0.9169625510819321,1990s
1992,CLE,108.9,85.7,8.6,0.357,27.6,13.1,0.10035005834305717,110.89999999999999,0.9819657348963031,1990s
1992,UTA,108.3,83.7,5.6,0.345,26.7,15.4,0.06690561529271206,112.47600000000001,0.9628720793769336,1990s
1992,BOS,106.6,87.8,4.4,0.306,25.3,14.2,0.05011389521640092,112.296,0.9492769110208733,1990s
1992,OKC,106.5,86.9,7.9,0.317,22.9,16.1,0.09090909090909091,115.144,0.924928784825957,1990s
1992,ATL,106.2,91.2,8.2,0.313,25.9,15.3,0.08991228070175437,117.632,0.9028155603917302,1990s
1992,BKN,105.4,92.4,8.2,0.334,23.6,17.0,0.08874458874458874,120.18,0.8770178066233982,1990s
